game_id,date,away_team,home_team,park,away_runs,home_runs,innings,day_night,temp,wind_dir,wind_speed,sky,precip
BAL202304110,2023/04/11,OAK,BAL,BAL12,8,12,9,night,76,torf,5,cloudy,none
BAL202304120,2023/04/12,OAK,BAL,BAL12,8,4,9,night,84,torf,14,sunny,none
BAL202304130,2023/04/13,OAK,BAL,BAL12,7,8,9,day,84,tolf,6,sunny,none
BAL202304210,2023/04/21,DET,BAL,BAL12,1,2,9,night,80,tolf,8,sunny,none
BAL202304220,2023/04/22,DET,BAL,BAL12,1,5,9,night,59,unknown,0,overcast,none
BAL202304230,2023/04/23,DET,BAL,BAL12,1,2,10,day,64,ltor,10,cloudy,none
BAL202304240,2023/04/24,BOS,BAL,BAL12,4,5,9,night,59,torf,8,cloudy,none
BAL202304250,2023/04/25,BOS,BAL,BAL12,8,6,9,night,59,tolf,4,cloudy,none
BAL202304260,2023/04/26,BOS,BAL,BAL12,2,6,9,day,61,tolf,7,cloudy,none
BAL202305080,2023/05/08,TBA,BAL,BAL12,3,0,9,night,81,tolf,8,cloudy,none
BAL202305090,2023/05/09,TBA,BAL,BAL12,2,4,9,night,65,fromrf,3,cloudy,none
BAL202305100,2023/05/10,TBA,BAL,BAL12,1,2,9,night,72,tolf,6,cloudy,none
BAL202305120,2023/05/12,PIT,BAL,BAL12,3,6,9,night,82,fromlf,7,cloudy,none
BAL202305130,2023/05/13,PIT,BAL,BAL12,0,2,9,night,67,torf,5,overcast,none
BAL202305140,2023/05/14,PIT,BAL,BAL12,4,0,9,day,75,ltor,4,cloudy,none
BAL202305150,2023/05/15,ANA,BAL,BAL12,9,5,9,night,74,torf,7,sunny,none
BAL202305160,2023/05/16,ANA,BAL,BAL12,3,7,9,night,77,fromrf,10,cloudy,none
BAL202305170,2023/05/17,ANA,BAL,BAL12,1,3,9,night,67,fromlf,13,sunny,none
BAL202305180,2023/05/18,ANA,BAL,BAL12,6,5,9,day,67,tocf,8,sunny,none
BAL202305260,2023/05/26,TEX,BAL,BAL12,12,2,9,night,73,fromrf,7,sunny,none
BAL202305270,2023/05/27,TEX,BAL,BAL12,5,3,9,day,78,rtol,9,cloudy,none
BAL202305280,2023/05/28,TEX,BAL,BAL12,2,3,9,day,71,torf,3,cloudy,none
BAL202305290,2023/05/29,CLE,BAL,BAL12,5,0,9,day,81,fromrf,3,overcast,none
BAL202305300,2023/05/30,CLE,BAL,BAL12,5,8,9,night,73,rtol,9,cloudy,none
BAL202305310,2023/05/31,CLE,BAL,BAL12,12,8,9,day,79,tolf,6,sunny,none
BAL202306090,2023/06/09,KCA,BAL,BAL12,2,3,9,night,73,torf,8,cloudy,none
